SKU,GCFerrules Part #,Varian Part #,J&W Liner #,Agilent Part #,Phenomenex Part #,Restek Liner #,SGE Liner #,CRS Part #,Perkin Elmer Part #,SGE Part #,Similar to,Name,Description,Categories,Size,Temp. Rating,Guide Hole,Molded Septa,Bleed,Fits Instrument,Qty/pk,Price,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Attribute 6 name,Attribute 6 value(s),Attribute 7 name,Attribute 7 value(s)
392611702,392611702,,,,,,,,,,392611702,"Premium Medium Temperature Septa, 11 mm (7/16 in.)","• Heat Stable To 300° C
• Unique Conditioning Process 
• Long Injection Life, 125+ Injections
• Low Bleed
• Offer overall dependability in the under 300° C temperature range 
• Packaged In Wide Mouth Glass Bottles",GC Septa,11 mm (7/16 in.),300°C,No,No,,"Varian/Bruker 1075, Varian/Bruker 1077, Varian/Bruker 3700 Vista, Varian/Bruker Capillary Injectors, Varian/Bruker Saturn GC/MS, Agilent (HP) 5880A, Agilent (HP) 5890, Agilent (HP) 6850, Agilent (HP) 6890, Agilent (HP) 7890, Agilent (HP) PTV, Agilent (HP) Purged Pack Column, Perkin Elmer Sigma Series, Perkin Elmer 900, Perkin Elmer 990, Perkin Elmer 8000 Series, Perkin Elmer Auto SYS, Perkin Elmer Auto SYS XL, Perkin Elmer Clarus 500, Thermo Scientific TRACE 1300 Series, Thermo Scientific Purged Packed Column Injector, Thermo Scientific Packed Column Injector, Gow Mac 6890 Series",50,40,"septamediumtempgreen_sm.jpg, septamediumtempgreen.jpg",Size,11 mm (7/16 in.),Temp. Rating,300°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Varian/Bruker 1075, Varian/Bruker 1077, Varian/Bruker 3700 Vista, Varian/Bruker Capillary Injectors, Varian/Bruker Saturn GC/MS, Agilent (HP) 5880A, Agilent (HP) 5890, Agilent (HP) 6850, Agilent (HP) 6890, Agilent (HP) 7890, Agilent (HP) PTV, Agilent (HP) Purged Pack Column, Perkin Elmer Sigma Series, Perkin Elmer 900, Perkin Elmer 990, Perkin Elmer 8000 Series, Perkin Elmer Auto SYS, Perkin Elmer Auto SYS XL, Perkin Elmer Clarus 500, Thermo Scientific TRACE 1300 Series, Thermo Scientific Purged Packed Column Injector, Thermo Scientific Packed Column Injector, Gow Mac 6890 Series",Qty/pk,50,Similar to,392611702
392611702-100,392611702-100,392611703,,,,,,,,,"392611702-100, 392611703","Premium Medium Temperature Septa, 11 mm (7/16 in.)","• Heat Stable To 300° C
• Unique Conditioning Process 
• Long Injection Life, 125+ Injections
• Low Bleed
• Offer overall dependability in the under 300° C temperature range 
• Packaged In Wide Mouth Glass Bottles",GC Septa,11 mm (7/16 in.),300°C,No,No,,"Varian/Bruker 1075, Varian/Bruker 1077, Varian/Bruker 3700 Vista, Varian/Bruker Capillary Injectors, Varian/Bruker Saturn GC/MS, Agilent (HP) 5880A, Agilent (HP) 5890, Agilent (HP) 6850, Agilent (HP) 6890, Agilent (HP) 7890, Agilent (HP) PTV, Agilent (HP) Purged Pack Column, Perkin Elmer Sigma Series, Perkin Elmer 900, Perkin Elmer 990, Perkin Elmer 8000 Series, Perkin Elmer Auto SYS, Perkin Elmer Auto SYS XL, Perkin Elmer Clarus 500, Thermo Scientific TRACE 1300 Series, Thermo Scientific Purged Packed Column Injector, Thermo Scientific Packed Column Injector, Gow Mac 6890 Series",100,80,"septamediumtempgreen_sm.jpg, septamediumtempgreen.jpg",Size,11 mm (7/16 in.),Temp. Rating,300°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Varian/Bruker 1075, Varian/Bruker 1077, Varian/Bruker 3700 Vista, Varian/Bruker Capillary Injectors, Varian/Bruker Saturn GC/MS, Agilent (HP) 5880A, Agilent (HP) 5890, Agilent (HP) 6850, Agilent (HP) 6890, Agilent (HP) 7890, Agilent (HP) PTV, Agilent (HP) Purged Pack Column, Perkin Elmer Sigma Series, Perkin Elmer 900, Perkin Elmer 990, Perkin Elmer 8000 Series, Perkin Elmer Auto SYS, Perkin Elmer Auto SYS XL, Perkin Elmer Clarus 500, Thermo Scientific TRACE 1300 Series, Thermo Scientific Purged Packed Column Injector, Thermo Scientific Packed Column Injector, Gow Mac 6890 Series",Qty/pk,100,Similar to,"392611702-100, 392611703"
392611704,392611704,,,,,,,,,,392611704,"Premium Medium Temperature Septa, 11.5 mm (11/24 in.)","• Heat Stable To 300° C
• Unique Conditioning Process 
• Long Injection Life, 125+ Injections
• Low Bleed
• Offer overall dependability in the under 300° C temperature range 
• Packaged In Wide Mouth Glass Bottles",GC Septa,11.5 mm (11/24 in.),300°C,No,No,,"Varian/Bruker 1078, Varian/Bruker 1079, Varian/Bruker 1093, Varian/Bruker 1094 SPI, Varian/Bruker Saturn GC/MS, Tracor 540",50,40,"septamediumtempgreen_sm.jpg, septamediumtempgreen.jpg",Size,11.5 mm (11/24 in.),Temp. Rating,300°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Varian/Bruker 1078, Varian/Bruker 1079, Varian/Bruker 1093, Varian/Bruker 1094 SPI, Varian/Bruker Saturn GC/MS, Tracor 540",Qty/pk,50,Similar to,392611704
392611704-100,392611704-100,392611705,,,,,,,,,"392611704-100, 392611705","Premium Medium Temperature Septa, 11.5 mm (11/24 in.)","• Heat Stable To 300° C
• Unique Conditioning Process 
• Long Injection Life, 125+ Injections
• Low Bleed
• Offer overall dependability in the under 300° C temperature range 
• Packaged In Wide Mouth Glass Bottles",GC Septa,11.5 mm (11/24 in.),300°C,No,No,,"Varian/Bruker 1078, Varian/Bruker 1079, Varian/Bruker 1093, Varian/Bruker 1094 SPI, Varian/Bruker Saturn GC/MS, Tracor 540",100,80,"septamediumtempgreen_sm.jpg, septamediumtempgreen.jpg",Size,11.5 mm (11/24 in.),Temp. Rating,300°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Varian/Bruker 1078, Varian/Bruker 1079, Varian/Bruker 1093, Varian/Bruker 1094 SPI, Varian/Bruker Saturn GC/MS, Tracor 540",Qty/pk,100,Similar to,"392611704-100, 392611705"
392611706,392611706,,,,,,,,,,392611706,"Premium Medium Temperature Septa, 12.5 mm (1/2 in.)","• Heat Stable To 300° C
• Unique Conditioning Process 
• Long Injection Life, 125+ Injections
• Low Bleed
• Offer overall dependability in the under 300° C temperature range 
• Packaged In Wide Mouth Glass Bottles",GC Septa,12.5 mm (1/2 in.),300°C,No,No,,"Agilent (HP) HP5750 & Earlier, Tracor 220, Tracor 222, Finnigan (TMQ) 9000, Finnigan (TMQ) 9500",50,40,"septamediumtempgreen_sm.jpg, septamediumtempgreen.jpg",Size,12.5 mm (1/2 in.),Temp. Rating,300°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Agilent (HP) HP5750 & Earlier, Tracor 220, Tracor 222, Finnigan (TMQ) 9000, Finnigan (TMQ) 9500",Qty/pk,50,Similar to,392611706
392611706-100,392611706-100,392611707,,,,,,,,,"392611706-100, 392611707","Premium Medium Temperature Septa, 12.5 mm (1/2 in.)","• Heat Stable To 300° C
• Unique Conditioning Process 
• Long Injection Life, 125+ Injections
• Low Bleed
• Offer overall dependability in the under 300° C temperature range 
• Packaged In Wide Mouth Glass Bottles",GC Septa,12.5 mm (1/2 in.),300°C,No,No,,"Agilent (HP) HP5750 & Earlier, Tracor 220, Tracor 222, Finnigan (TMQ) 9000, Finnigan (TMQ) 9500",100,80,"septamediumtempgreen_sm.jpg, septamediumtempgreen.jpg",Size,12.5 mm (1/2 in.),Temp. Rating,300°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Agilent (HP) HP5750 & Earlier, Tracor 220, Tracor 222, Finnigan (TMQ) 9000, Finnigan (TMQ) 9500",Qty/pk,100,Similar to,"392611706-100, 392611707"
392611708,392611708,,,,,,,,,,392611708,"Premium Medium Temperature Septa, 17.0 mm (21/32 in.)","• Heat Stable To 300° C
• Unique Conditioning Process 
• Long Injection Life, 125+ Injections
• Low Bleed
• Offer overall dependability in the under 300° C temperature range 
• Packaged In Wide Mouth Glass Bottles",GC Septa,17 mm (21/32 in.),300°C,No,No,,"Thermo Scientific TRACE GC/, Thermo Scientific Focus Split/ Splitless, Thermo Scientific GCQ w/TRACE, Thermo Scientific PTV, Thermo Scientific 8000 Series, Thermo Scientific TRACE Ultra GC",50,40,"septamediumtempgreen_sm.jpg, septamediumtempgreen.jpg",Size,17 mm (21/32 in.),Temp. Rating,300°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Thermo Scientific TRACE GC/, Thermo Scientific Focus Split/ Splitless, Thermo Scientific GCQ w/TRACE, Thermo Scientific PTV, Thermo Scientific 8000 Series, Thermo Scientific TRACE Ultra GC",Qty/pk,50,Similar to,392611708
392611708-100,392611708-100,392611709,,,,,,,,,"392611708-100, 392611709","Premium Medium Temperature Septa, 17.0 mm (21/32 in.)","• Heat Stable To 300° C
• Unique Conditioning Process 
• Long Injection Life, 125+ Injections
• Low Bleed
• Offer overall dependability in the under 300° C temperature range 
• Packaged In Wide Mouth Glass Bottles",GC Septa,17 mm (21/32 in.),300°C,No,No,,"Thermo Scientific TRACE GC/, Thermo Scientific Focus Split/ Splitless, Thermo Scientific GCQ w/TRACE, Thermo Scientific PTV, Thermo Scientific 8000 Series, Thermo Scientific TRACE Ultra GC",100,80,"septamediumtempgreen_sm.jpg, septamediumtempgreen.jpg",Size,17 mm (21/32 in.),Temp. Rating,300°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Thermo Scientific TRACE GC/, Thermo Scientific Focus Split/ Splitless, Thermo Scientific GCQ w/TRACE, Thermo Scientific PTV, Thermo Scientific 8000 Series, Thermo Scientific TRACE Ultra GC",Qty/pk,100,Similar to,"392611708-100, 392611709"
392611710,392611710,,,,,,,,,,392611710,"Premium Medium Temperature Septa, Shimadzu Plug","• Heat Stable To 300° C
• Unique Conditioning Process 
• Long Injection Life, 125+ Injections
• Low Bleed
• Offer overall dependability in the under 300° C temperature range 
• Packaged In Wide Mouth Glass Bottles",GC Septa,Shimadzu Plug,300°C,Yes,No,,"Shimadzu All Models (14, 15A, 16, 17A), SRI All Other Models",50,40,"septashimdazugreen_sm.jpg, septashimdazugreen.jpg",Size,Shimadzu Plug,Temp. Rating,300°C,Guide Hole,Yes,Molded Septa,No,Bleed,0,Fits Instrument,"Shimadzu All Models (14, 15A, 16, 17A), SRI All Other Models",Qty/pk,50,Similar to,392611710
392611710-100,392611710-100,392611711,,,,,,,,,"392611710-100, 392611711","Premium Medium Temperature Septa, Shimadzu Plug","• Heat Stable To 300° C
• Unique Conditioning Process 
• Long Injection Life, 125+ Injections
• Low Bleed
• Offer overall dependability in the under 300° C temperature range 
• Packaged In Wide Mouth Glass Bottles",GC Septa,Shimadzu Plug,300°C,Yes,No,,"Shimadzu All Models (14, 15A, 16, 17A), SRI All Other Models",100,80,"septashimdazugreen_sm.jpg, septashimdazugreen.jpg",Size,Shimadzu Plug,Temp. Rating,300°C,Guide Hole,Yes,Molded Septa,No,Bleed,0,Fits Instrument,"Shimadzu All Models (14, 15A, 16, 17A), SRI All Other Models",Qty/pk,100,Similar to,"392611710-100, 392611711"
392611712,392611712,,,,,,,,,,392611712,"Premium General Purpose Septa, 5 mm (3/16 in.)","• Heat Stable To 250°C
• Isothermal Use, Easy To penetrate 
• Long Injection Life, 150+ Injections
• Low cost silicone rubber, designed for low temperature 
• Long injector life applications
• Packaged In Wide Mouth Glass Bottles",GC Septa,5 mm (3/16 in.),250°C,No,No,,"Agilent (HP ) On-Column Injection, Agilent (HP) Capillary",50,25,"septablue_sm.jpg, septablue.jpg",Size,5 mm (3/16 in.),Temp. Rating,250°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Agilent (HP ) On-Column Injection, Agilent (HP) Capillary",Qty/pk,50,Similar to,392611712
392611712-100,392611712-100,392611713,,,,,,,,,"392611712-100, 392611713","Premium General Purpose Septa, 5 mm (3/16 in.)","• Heat Stable To 250°C
• Isothermal Use, Easy To penetrate 
• Long Injection Life, 150+ Injections
• Low cost silicone rubber, designed for low temperature 
• Long injector life applications
• Packaged In Wide Mouth Glass Bottles",GC Septa,5 mm (3/16 in.),250°C,No,No,,"Agilent (HP ) On-Column Injection, Agilent (HP) Capillary",100,50,"septablue_sm.jpg, septablue.jpg",Size,5 mm (3/16 in.),Temp. Rating,250°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Agilent (HP ) On-Column Injection, Agilent (HP) Capillary",Qty/pk,100,Similar to,"392611712-100, 392611713"
392611714,392611714,,,,,,,,,,392611714,"Premium General Purpose Septa, 9 mm (11/32 in.)","• Heat Stable To 250°C
• Isothermal Use, Easy To penetrate 
• Long Injection Life, 150+ Injections
• Low cost silicone rubber, designed for low temperature 
• Long injector life applications
• Packaged In Wide Mouth Glass Bottles",GC Septa,9 mm (11/32 in.),250°C,No,No,,"Varian/Bruker 1177, Thermo Scientific Large Volume Splitless Injector",50,25,"septablue_sm.jpg, septablue.jpg",Size,9 mm (11/32 in.),Temp. Rating,250°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Varian/Bruker 1177, Thermo Scientific Large Volume Splitless Injector",Qty/pk,50,Similar to,392611714
392611714-100,392611714-100,392611715,,,,,,,,,"392611714-100, 392611715","Premium General Purpose Septa, 9 mm (11/32 in.)","• Heat Stable To 250°C
• Isothermal Use, Easy To penetrate 
• Long Injection Life, 150+ Injections
• Low cost silicone rubber, designed for low temperature 
• Long injector life applications
• Packaged In Wide Mouth Glass Bottles",GC Septa,9 mm (11/32 in.),250°C,No,No,,"Varian/Bruker 1177, Thermo Scientific Large Volume Splitless Injector",100,50,"septablue_sm.jpg, septablue.jpg",Size,9 mm (11/32 in.),Temp. Rating,250°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Varian/Bruker 1177, Thermo Scientific Large Volume Splitless Injector",Qty/pk,100,Similar to,"392611714-100, 392611715"
392611716,392611716,,,,,,,,,,392611716,"Premium General Purpose Septa, 9.5 mm (3/8 in.)","• Heat Stable To 250°C
• Isothermal Use, Easy To penetrate 
• Long Injection Life, 150+ Injections
• Low cost silicone rubber, designed for low temperature 
• Long injector life applications
• Packaged In Wide Mouth Glass Bottles",GC Septa,9.5 mm (3/8 in.),250°C,No,No,,"Varian/Bruker Packed Column, Varian/Bruker 1040, Varian/Bruker 1041, Varian/Bruker 1060, Varian/Bruker 1061, Agilent (HP) 5700, Agilent (HP) 5880, Agilent (HP) 5890, Agilent (HP) 6890, Agilent (HP) 6900, Tracor 550, Tracor 560, Finnigan (TMQ) GC 9001, Finnigan (TMQ) 9600, Finnigan (TMQ) GCQ, Finnigan (TMQ) QCQ, Finnigan (TMQ) TRACE 2000, Thermo Scientific GCQ, Thermo Scientific 9100, Gow Mac All Other Models, HNU Portable GC, Antek All Models, SRI Models With Heated Inlets",50,25,"septablue_sm.jpg, septablue.jpg",Size,9.5 mm (3/8 in.),Temp. Rating,250°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Varian/Bruker Packed Column, Varian/Bruker 1040, Varian/Bruker 1041, Varian/Bruker 1060, Varian/Bruker 1061, Agilent (HP) 5700, Agilent (HP) 5880, Agilent (HP) 5890, Agilent (HP) 6890, Agilent (HP) 6900, Tracor 550, Tracor 560, Finnigan (TMQ) GC 9001, Finnigan (TMQ) 9600, Finnigan (TMQ) GCQ, Finnigan (TMQ) QCQ, Finnigan (TMQ) TRACE 2000, Thermo Scientific GCQ, Thermo Scientific 9100, Gow Mac All Other Models, HNU Portable GC, Antek All Models, SRI Models With Heated Inlets",Qty/pk,50,Similar to,392611716
392611716-100,392611716-100,392611717,,,,,,,,,"392611716-100, 392611717","Premium General Purpose Septa, 9.5 mm (3/8 in.)","• Heat Stable To 250°C
• Isothermal Use, Easy To penetrate 
• Long Injection Life, 150+ Injections
• Low cost silicone rubber, designed for low temperature 
• Long injector life applications
• Packaged In Wide Mouth Glass Bottles",GC Septa,9.5 mm (3/8 in.),250°C,No,No,,"Varian/Bruker Packed Column, Varian/Bruker 1040, Varian/Bruker 1041, Varian/Bruker 1060, Varian/Bruker 1061, Agilent (HP) 5700, Agilent (HP) 5880, Agilent (HP) 5890, Agilent (HP) 6890, Agilent (HP) 6900, Tracor 550, Tracor 560, Finnigan (TMQ) GC 9001, Finnigan (TMQ) 9600, Finnigan (TMQ) GCQ, Finnigan (TMQ) QCQ, Finnigan (TMQ) TRACE 2000, Thermo Scientific GCQ, Thermo Scientific 9100, Gow Mac All Other Models, HNU Portable GC, Antek All Models, SRI Models With Heated Inlets",100,50,"septablue_sm.jpg, septablue.jpg",Size,9.5 mm (3/8 in.),Temp. Rating,250°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Varian/Bruker Packed Column, Varian/Bruker 1040, Varian/Bruker 1041, Varian/Bruker 1060, Varian/Bruker 1061, Agilent (HP) 5700, Agilent (HP) 5880, Agilent (HP) 5890, Agilent (HP) 6890, Agilent (HP) 6900, Tracor 550, Tracor 560, Finnigan (TMQ) GC 9001, Finnigan (TMQ) 9600, Finnigan (TMQ) GCQ, Finnigan (TMQ) QCQ, Finnigan (TMQ) TRACE 2000, Thermo Scientific GCQ, Thermo Scientific 9100, Gow Mac All Other Models, HNU Portable GC, Antek All Models, SRI Models With Heated Inlets",Qty/pk,100,Similar to,"392611716-100, 392611717"
392611718,392611718,,,,,,,,,,392611718,"Premium General Purpose Septa, 11 mm (7/16 in.)","• Heat Stable To 250°C
• Isothermal Use, Easy To penetrate 
• Long Injection Life, 150+ Injections
• Low cost silicone rubber, designed for low temperature 
• Long injector life applications
• Packaged In Wide Mouth Glass Bottles",GC Septa,11 mm (7/16 in.),250°C,No,No,,"Varian/Bruker 1075, Varian/Bruker 1077, Varian/Bruker 3700 Vista, Varian/Bruker Capillary Injectors, Varian/Bruker Saturn GC/MS, Agilent (HP) 5880A, Agilent (HP) 5890, Agilent (HP) 6850, Agilent (HP) 6890, Agilent (HP) 7890, Agilent (HP) PTV, Agilent (HP) Purged Pack Column, Perkin Elmer Sigma Series, Perkin Elmer 900, Perkin Elmer 990, Perkin Elmer 8000 Series, Perkin Elmer Auto SYS, Perkin Elmer Auto SYS XL, Perkin Elmer Clarus 500, Thermo Scientific TRACE 1300 Series, Thermo Scientific Purged Packed Column Injector, Thermo Scientific Packed Column Injector, Gow Mac 6890 Series",50,25,"septablue_sm.jpg, septablue.jpg",Size,11 mm (7/16 in.),Temp. Rating,250°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Varian/Bruker 1075, Varian/Bruker 1077, Varian/Bruker 3700 Vista, Varian/Bruker Capillary Injectors, Varian/Bruker Saturn GC/MS, Agilent (HP) 5880A, Agilent (HP) 5890, Agilent (HP) 6850, Agilent (HP) 6890, Agilent (HP) 7890, Agilent (HP) PTV, Agilent (HP) Purged Pack Column, Perkin Elmer Sigma Series, Perkin Elmer 900, Perkin Elmer 990, Perkin Elmer 8000 Series, Perkin Elmer Auto SYS, Perkin Elmer Auto SYS XL, Perkin Elmer Clarus 500, Thermo Scientific TRACE 1300 Series, Thermo Scientific Purged Packed Column Injector, Thermo Scientific Packed Column Injector, Gow Mac 6890 Series",Qty/pk,50,Similar to,392611718
392611718-100,392611718-100,392611719,,,,,,,,,"392611718-100, 392611719","Premium General Purpose Septa, 11 mm (7/16 in.)","• Heat Stable To 250°C
• Isothermal Use, Easy To penetrate 
• Long Injection Life, 150+ Injections
• Low cost silicone rubber, designed for low temperature 
• Long injector life applications
• Packaged In Wide Mouth Glass Bottles",GC Septa,11 mm (7/16 in.),250°C,No,No,,"Varian/Bruker 1075, Varian/Bruker 1077, Varian/Bruker 3700 Vista, Varian/Bruker Capillary Injectors, Varian/Bruker Saturn GC/MS, Agilent (HP) 5880A, Agilent (HP) 5890, Agilent (HP) 6850, Agilent (HP) 6890, Agilent (HP) 7890, Agilent (HP) PTV, Agilent (HP) Purged Pack Column, Perkin Elmer Sigma Series, Perkin Elmer 900, Perkin Elmer 990, Perkin Elmer 8000 Series, Perkin Elmer Auto SYS, Perkin Elmer Auto SYS XL, Perkin Elmer Clarus 500, Thermo Scientific TRACE 1300 Series, Thermo Scientific Purged Packed Column Injector, Thermo Scientific Packed Column Injector, Gow Mac 6890 Series",100,50,"septablue_sm.jpg, septablue.jpg",Size,11 mm (7/16 in.),Temp. Rating,250°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Varian/Bruker 1075, Varian/Bruker 1077, Varian/Bruker 3700 Vista, Varian/Bruker Capillary Injectors, Varian/Bruker Saturn GC/MS, Agilent (HP) 5880A, Agilent (HP) 5890, Agilent (HP) 6850, Agilent (HP) 6890, Agilent (HP) 7890, Agilent (HP) PTV, Agilent (HP) Purged Pack Column, Perkin Elmer Sigma Series, Perkin Elmer 900, Perkin Elmer 990, Perkin Elmer 8000 Series, Perkin Elmer Auto SYS, Perkin Elmer Auto SYS XL, Perkin Elmer Clarus 500, Thermo Scientific TRACE 1300 Series, Thermo Scientific Purged Packed Column Injector, Thermo Scientific Packed Column Injector, Gow Mac 6890 Series",Qty/pk,100,Similar to,"392611718-100, 392611719"
392611720,392611720,,,,,,,,,,392611720,"Premium General Purpose Septa, 11.5 mm (11/24 in.)","• Heat Stable To 250°C
• Isothermal Use, Easy To penetrate 
• Long Injection Life, 150+ Injections
• Low cost silicone rubber, designed for low temperature 
• Long injector life applications
• Packaged In Wide Mouth Glass Bottles",GC Septa,11.5 mm (11/24 in.),250°C,No,No,,"Varian/Bruker 1078, Varian/Bruker 1079, Varian/Bruker 1093, Varian/Bruker 1094 SPI, Varian/Bruker Saturn GC/MS, Tracor 540",50,25,"septablue_sm.jpg, septablue.jpg",Size,11.5 mm (11/24 in.),Temp. Rating,250°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Varian/Bruker 1078, Varian/Bruker 1079, Varian/Bruker 1093, Varian/Bruker 1094 SPI, Varian/Bruker Saturn GC/MS, Tracor 540",Qty/pk,50,Similar to,392611720
392611720-100,392611720-100,392611721,,,,,,,,,"392611720-100, 392611721","Premium General Purpose Septa, 11.5 mm (11/24 in.)","• Heat Stable To 250°C
• Isothermal Use, Easy To penetrate 
• Long Injection Life, 150+ Injections
• Low cost silicone rubber, designed for low temperature 
• Long injector life applications
• Packaged In Wide Mouth Glass Bottles",GC Septa,11.5 mm (11/24 in.),250°C,No,No,,"Varian/Bruker 1078, Varian/Bruker 1079, Varian/Bruker 1093, Varian/Bruker 1094 SPI, Varian/Bruker Saturn GC/MS, Tracor 540",100,50,"septablue_sm.jpg, septablue.jpg",Size,11.5 mm (11/24 in.),Temp. Rating,250°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Varian/Bruker 1078, Varian/Bruker 1079, Varian/Bruker 1093, Varian/Bruker 1094 SPI, Varian/Bruker Saturn GC/MS, Tracor 540",Qty/pk,100,Similar to,"392611720-100, 392611721"
392611722,392611722,,,,,,,,,,392611722,"Premium General Purpose Septa, 12.5 mm (1/2 in.)","• Heat Stable To 250°C
• Isothermal Use, Easy To penetrate 
• Long Injection Life, 150+ Injections
• Low cost silicone rubber, designed for low temperature 
• Long injector life applications
• Packaged In Wide Mouth Glass Bottles",GC Septa,12.5 mm (1/2 in.),250°C,No,No,,"Agilent (HP) HP5750 & Earlier, Tracor 220, Tracor 222, Finnigan (TMQ) 9000, Finnigan (TMQ) 9500",50,25,"septablue_sm.jpg, septablue.jpg",Size,12.5 mm (1/2 in.),Temp. Rating,250°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Agilent (HP) HP5750 & Earlier, Tracor 220, Tracor 222, Finnigan (TMQ) 9000, Finnigan (TMQ) 9500",Qty/pk,50,Similar to,392611722
392611722-100,392611722-100,392611723,,,,,,,,,"392611722-100, 392611723","Premium General Purpose Septa, 12.5 mm (1/2 in.)","• Heat Stable To 250°C
• Isothermal Use, Easy To penetrate 
• Long Injection Life, 150+ Injections
• Low cost silicone rubber, designed for low temperature 
• Long injector life applications
• Packaged In Wide Mouth Glass Bottles",GC Septa,12.5 mm (1/2 in.),250°C,No,No,,"Agilent (HP) HP5750 & Earlier, Tracor 220, Tracor 222, Finnigan (TMQ) 9000, Finnigan (TMQ) 9500",100,50,"septablue_sm.jpg, septablue.jpg",Size,12.5 mm (1/2 in.),Temp. Rating,250°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Agilent (HP) HP5750 & Earlier, Tracor 220, Tracor 222, Finnigan (TMQ) 9000, Finnigan (TMQ) 9500",Qty/pk,100,Similar to,"392611722-100, 392611723"
392611724,392611724,,,,,,,,,,392611724,"Premium General Purpose Septa, 17.0 mm (21/32 in.)","• Heat Stable To 250°C
• Isothermal Use, Easy To penetrate 
• Long Injection Life, 150+ Injections
• Low cost silicone rubber, designed for low temperature 
• Long injector life applications
• Packaged In Wide Mouth Glass Bottles",GC Septa,17 mm (21/32 in.),250°C,No,No,,"Thermo Scientific TRACE GC/, Thermo Scientific Focus Split/ Splitless, Thermo Scientific GCQ w/TRACE, Thermo Scientific PTV, Thermo Scientific 8000 Series, Thermo Scientific TRACE Ultra GC",50,25,"septablue_sm.jpg, septablue.jpg",Size,17 mm (21/32 in.),Temp. Rating,250°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Thermo Scientific TRACE GC/, Thermo Scientific Focus Split/ Splitless, Thermo Scientific GCQ w/TRACE, Thermo Scientific PTV, Thermo Scientific 8000 Series, Thermo Scientific TRACE Ultra GC",Qty/pk,50,Similar to,392611724
392611724-100,392611724-100,392611725,,,,,,,,,"392611724-100, 392611725","Premium General Purpose Septa, 17.0 mm (21/32 in.)","• Heat Stable To 250°C
• Isothermal Use, Easy To penetrate 
• Long Injection Life, 150+ Injections
• Low cost silicone rubber, designed for low temperature 
• Long injector life applications
• Packaged In Wide Mouth Glass Bottles",GC Septa,17 mm (21/32 in.),250°C,No,No,,"Thermo Scientific TRACE GC/, Thermo Scientific Focus Split/ Splitless, Thermo Scientific GCQ w/TRACE, Thermo Scientific PTV, Thermo Scientific 8000 Series, Thermo Scientific TRACE Ultra GC",100,50,"septablue_sm.jpg, septablue.jpg",Size,17 mm (21/32 in.),Temp. Rating,250°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Thermo Scientific TRACE GC/, Thermo Scientific Focus Split/ Splitless, Thermo Scientific GCQ w/TRACE, Thermo Scientific PTV, Thermo Scientific 8000 Series, Thermo Scientific TRACE Ultra GC",Qty/pk,100,Similar to,"392611724-100, 392611725"
392611726,392611726,,,,,,,,,,392611726,"Premium General Purpose Septa, Shimadzu plug","• Heat Stable To 250°C
• Isothermal Use, Easy To penetrate 
• Long Injection Life, 150+ Injections
• Low cost silicone rubber, designed for low temperature 
• Long injector life applications
• Packaged In Wide Mouth Glass Bottles",GC Septa,Shimadzu Plug,250°C,Yes,No,,"Shimadzu All Models (14, 15A, 16, 17A), SRI All Other Models",50,25,"septashimadzuplugblue_sm.jpg, septashimadzuplugblue.jpg",Size,Shimadzu Plug,Temp. Rating,250°C,Guide Hole,Yes,Molded Septa,No,Bleed,0,Fits Instrument,"Shimadzu All Models (14, 15A, 16, 17A), SRI All Other Models",Qty/pk,50,Similar to,392611726
