SKU,GCFerrules Part #,Varian Part #,J&W Liner #,Agilent Part #,Phenomenex Part #,Restek Liner #,SGE Liner #,CRS Part #,Perkin Elmer Part #,SGE Part #,Similar to,Name,Description,Material,Benefits/Uses,Categories,OD,ID,Length,Fits Injector Port,Fits GC Model,Volume (μL),Qty/pk,Price,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Attribute 6 name,Attribute 6 value(s),Attribute 7 name,Attribute 7 value(s),Attribute 8 name,Attribute 8 value(s),Attribute 9 name,Attribute 9 value(s)
392611926-25,392611926-25,,,,,,,,,,,"2mm Gooseneck GC Inlet Liner for Agilent (HP) 6.5 OD x 78.5 L x 2mm ID, Split/Splitless","• GC Inlet Liner for Agilent(HP) GC (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,,GC Inlet Liners,6.5 mm,2 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",250,25,$500.00,"392611926_sm.jpg, 392611926.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.5 mm,ID,2 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),250,Qty/pk,25,Similar to,
392611927,392611927,,,"5181-3316, 5183-4695, 5183-4696, 8004-0165","AG0-7516, AG0-7640",,,,,,"5181-3316, 5183-4695, 5183-4696, 8004-0165, AG0-7516, AG0-7640","4mm Gooseneck GC Inlet Liner for Varian & Agilent (HP), 6.5 OD x 78.5 L x 4mm ID Split/Splitless","• GC Inlet Liner for Varian GCs (Model # CP-1177) & Agilent (HP) GCs (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,,GC Inlet Liners,6.5 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",900,5,$89.00,"392611927_sm.jpg, 392611927.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.5 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),900,Qty/pk,5,Similar to,"5181-3316, 5183-4695, 5183-4696, 8004-0165, AG0-7516, AG0-7640"
392611927-25,392611927-25,,,,,,,,,,,"4mm Gooseneck GC Inlet Liner for Varian & Agilent (HP), 6.5 OD x 78.5 L x 4mm ID Split/Splitless","• GC Inlet Liner for Varian GCs (Model # CP-1177) & Agilent (HP) GCs (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,,GC Inlet Liners,6.5 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",900,25,$425.00,"392611927_sm.jpg, 392611927.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.5 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),900,Qty/pk,25,Similar to,
392611928,392611928,,,"5062-3587, 5183-4693, 5183-4694, 8004-0152","AG0-4657, AG0-4658","22405, 22406, 22407, 21896-200.1, 21897-200.5, 22406-231.5, 22405-213.1, 22406-213.5, 22407-213.25, 20798-211.1, 20799-211.5, 20800-211.25, 20798-231.1, 20799-231.5, 20800-231.25","092019, 092218",,,,"5062-3587, 5183-4693, 5183-4694, 8004-0152, AG0-4657, AG0-4658, 22405, 22406, 22407, 21896-200.1, 21897-200.5, 22406-231.5, 22405-213.1, 22406-213.5, 22407-213.25, 20798-211.1, 20799-211.5, 20800-211.25, 20798-231.1, 20799-231.5, 20800-231.25, 092019, 092218","4mm Gooseneck GC Inlet Liner Packed w/FS Wool for Agilent (HP), 6.5 OD x 78.5 L x 4mm ID, Splitless","• GC Inlet Liner Packed with FS Wool for Agilent (HP) GCs (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,Trace samples <2μL,GC Inlet Liners,6.5 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",900,5,$97.00,"392611928_sm.jpg, 392611928.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,Trace samples <2μL,OD,6.5 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),900,Qty/pk,5,Similar to,"5062-3587, 5183-4693, 5183-4694, 8004-0152, AG0-4657, AG0-4658, 22405, 22406, 22407, 21896-200.1, 21897-200.5, 22406-231.5, 22405-213.1, 22406-213.5, 22407-213.25, 20798-211.1, 20799-211.5, 20800-211.25, 20798-231.1, 20799-231.5, 20800-231.25, 092019, 092218"
392611928-25,392611928-25,,,,,,,,,,,"4mm Gooseneck GC Inlet Liner Packed w/FS Wool for Agilent (HP), 6.5 OD x 78.5 L x 4mm ID, Splitless","• GC Inlet Liner Packed with FS Wool for Agilent (HP) GCs (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,Trace samples <2μL,GC Inlet Liners,6.5 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",900,25,$470.00,"392611928_sm.jpg, 392611928.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,Trace samples <2μL,OD,6.5 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),900,Qty/pk,25,Similar to,
392611929,392611929,,210-3006-5,"5181-3315, 5183-4705, 5183-4706, 8004-0105","AG0-8173 (without wool), AG0-9189 (without wool)",,,,,,"210-3006-5, 5181-3315, 5183-4705, 5183-4706, 8004-0105, AG0-8173 (without wool), AG0-9189 (without wool)","4mm Double Gooseneck GC Inlet Liner, 6.5 OD x 78.5 L x 4mm ID, Splitless Agilent (HP)","•GC Inlet Liner for former Varian GC systems, now Bruker and Agilent(HP) GC (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,"Trace, active samples <2μL",GC Inlet Liners,6.5 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",800,5,$98.00,"392611929_sm.jpg, 392611929.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,"Trace, active samples <2μL",OD,6.5 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),800,Qty/pk,5,Similar to,"210-3006-5, 5181-3315, 5183-4705, 5183-4706, 8004-0105, AG0-8173 (without wool), AG0-9189 (without wool)"
392611929-25,392611929-25,,,,,,,,,,,"4mm Double Gooseneck GC Inlet Liner, 6.5 OD x 78.5 L x 4mm ID, Splitless Agilent (HP)","•GC Inlet Liner for former Varian GC systems, now Bruker and Agilent(HP) GC (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,"Trace, active samples <2μL",GC Inlet Liners,6.5 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",800,25,$490.00,"392611929_sm.jpg, 392611929.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,"Trace, active samples <2μL",OD,6.5 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),800,Qty/pk,25,Similar to,
392611931,392611931,,210-2002-H-5,"5183-4699, 18740-80190","AG0-4647, AG0-4648","20709, 20710",,,,,"210-2002-H-5 , 5183-4699, 18740-80190, AG0-4647, AG0-4648, 20709, 20710","Cup Unpacked Agilent (HP) GC Inlet Liner, 6.3 OD x 78.5 L x 4mm ID","• GC Inlet Liner for Agilent(HP) GC (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,High & low MW compounds,GC Inlet Liners,6.3 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",800,5,$195.00,"392611931_sm.jpg, 392611931.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,High & low MW compounds,OD,6.3 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),800,Qty/pk,5,Similar to,"210-2002-H-5 , 5183-4699, 18740-80190, AG0-4647, AG0-4648, 20709, 20710"
392611931-25,392611931-25,,,,,,,,,,,"Cup Unpacked Agilent (HP) GC Inlet Liner, 6.3 OD x 78.5 L x 4mm ID","• GC Inlet Liner for Agilent(HP) GC (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,High & low MW compounds,GC Inlet Liners,6.3 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",800,25,$950.00,"392611931_sm.jpg, 392611931.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,High & low MW compounds,OD,6.3 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),800,Qty/pk,25,Similar to,
392611932,392611932,,,5183-4697,AG0-7853,,,,,,"5183-4697, AG0-7853","Cup Packed w/GC Inlet Liner w/FS wool, Agilent (HP) 6.3 OD X 78.5 L X 4mm ID","• GC Inlet Liner for Agilent(HP) GC (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,,GC Inlet Liners,6.3 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",800,5,$200.00,"392611932_sm.jpg, 392611932.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.3 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),800,Qty/pk,5,Similar to,"5183-4697, AG0-7853"
392611932-25,392611932-25,,,,,,,,,,,"Cup Packed w/GC Inlet Liner w/FS wool, Agilent (HP) 6.3 OD X 78.5 L X 4mm ID","• GC Inlet Liner for Agilent(HP) GC (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,,GC Inlet Liners,6.3 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",800,25,$975.00,"392611932_sm.jpg, 392611932.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.3 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),800,Qty/pk,25,Similar to,
392611933,392611933,,,"18740-60840, 18740-6084",,,,,,,"18740-60840, 18740-6084",Cup Packed Agilent (HP) GC Inlet Liner w/10% OV-1 on Chromosorb-W HP 6.3 OD x 78.5 L x 4mm ID,"• GC Inlet Liner for Agilent(HP) GC (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,,GC Inlet Liners,6.3 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",800,5,$225.00,"392611933_sm.jpg, 392611933.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.3 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),800,Qty/pk,5,Similar to,"18740-60840, 18740-6084"
392611933-25,392611933-25,,,,,,,,,,,Cup Packed Agilent (HP) GC Inlet Liner w/10% OV-1 on Chromosorb-W HP 6.3 OD x 78.5 L x 4mm ID,"• GC Inlet Liner for Agilent(HP) GC (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,,GC Inlet Liners,6.3 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",800,25,"$1,100.00","392611933_sm.jpg, 392611933.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.3 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),800,Qty/pk,25,Similar to,
392611934,392611934,,,"8004-0154, 8004-0104, 19251-60540","AG0-7515, AG0-8653",21079,,,,,"8004-0154, 8004-0104, 19251-60540, AG0-7515, AG0-8653, 21079","Agilent(HP) 4mm GC Inlet Liner Packed w/ FS Wool, Split 6.3 OD x 78.5 L x 4mm ID","• GC Inlet Liner for Agilent(HP) GC (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,"Universal, use with Agilent 7673 autosampler",GC Inlet Liners,6.3 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",1000,5,$90.00,"392611934_sm.jpg, 392611934.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,"Universal, use with Agilent 7673 autosampler",OD,6.3 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),1000,Qty/pk,5,Similar to,"8004-0154, 8004-0104, 19251-60540, AG0-7515, AG0-8653, 21079"
392611934-25,392611934-25,,,,"AG0-7582, AG0-8654",,,,,,"AG0-7582, AG0-8654","Agilent(HP) 4mm GC Inlet Liner Packed w/ FS Wool, Split 6.3 OD x 78.5 L x 4mm ID","• GC Inlet Liner for Agilent(HP) GC (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,"Universal, use with Agilent 7673 autosampler",GC Inlet Liners,6.3 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",1000,25,$400.00,"392611934_sm.jpg, 392611934.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,"Universal, use with Agilent 7673 autosampler",OD,6.3 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),1000,Qty/pk,25,Similar to,"AG0-7582, AG0-8654"
392611936,392611936,,,"8004-0114, 8004-0170",,"21896-200.1, 21897-200.5",,,,,"8004-0114, 8004-0170, 21896-200.1, 21897-200.5","4mm Gooseneck GC Inlet Liner w/Glass Wool CP-1177, Split/Splitless","• GC Inlet Liner for Agilent(HP) GC (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,Trace samples <2μL,GC Inlet Liners,6.5 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",1000,5,$120.00,"392611936_sm.jpg, 392611936.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,Trace samples <2μL,OD,6.5 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),1000,Qty/pk,5,Similar to,"8004-0114, 8004-0170, 21896-200.1, 21897-200.5"
392611936-25,392611936-25,,,,,,,,,,,"4mm Gooseneck GC Inlet Liner w/Glass Wool CP-1177, Split/Splitless","• GC Inlet Liner for Agilent(HP) GC (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,Trace samples <2μL,GC Inlet Liners,6.5 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",1000,25,$550.00,"392611936_sm.jpg, 392611936.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,Trace samples <2μL,OD,6.5 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),1000,Qty/pk,25,Similar to,
392611937,392611937,,,"8004-0173, 8004-0116",,20782,"092001, 092002",,,,"8004-0173, 8004-0116, 20782, 092001, 092002","4mm GC Inlet Liner with glass wool for CP-1177, Split","• GC Inlet Liner for Agilent(HP) GC (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,,GC Inlet Liners,6.5 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",1000,5,$80.00,"392611937_sm.jpg, 392611937.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.5 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),1000,Qty/pk,5,Similar to,"8004-0173, 8004-0116, 20782, 092001, 092002"
392611937-25,392611937-25,,,"8004-0173, 8004-0116",,20783,"092220, 092219",,,,"8004-0173, 8004-0116, 20783, 092220, 092219","4mm GC Inlet Liner with glass wool for CP-1177, Split","• GC Inlet Liner for Agilent(HP) GC (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,,GC Inlet Liners,6.5 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",1000,25,$375.00,"392611937_sm.jpg, 392611937.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.5 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),1000,Qty/pk,25,Similar to,"8004-0173, 8004-0116, 20783, 092220, 092219"
